symbol,date,open,high,low,close,volume
GME,2020-09-01T14:00:00Z,6.88,7.6,6.79,7.415,100576
GME,2020-09-01T15:00:00Z,7.425,7.46,7.02,7.105,35581
GME,2020-09-01T16:00:00Z,7.11,7.6,7.11,7.495,13945
GME,2020-09-01T17:00:00Z,7.495,7.7,7.445,7.5,12156
GME,2020-09-01T18:00:00Z,7.495,7.53,7.32,7.49,13797
GME,2020-09-01T19:00:00Z,7.485,7.815,7.475,7.655,71959
GME,2020-09-01T20:00:00Z,7.655,7.655,7.655,7.655,0
GME,2020-09-02T14:00:00Z,7.455,7.65,7.295,7.595,27814
GME,2020-09-02T15:00:00Z,7.59,7.835,7.36,7.41,18741
GME,2020-09-02T16:00:00Z,7.385,7.69,7.345,7.69,5042
GME,2020-09-02T17:00:00Z,7.67,7.78,7.665,7.735,7112
GME,2020-09-02T18:00:00Z,7.735,7.735,7.535,7.575,2846
GME,2020-09-02T19:00:00Z,7.575,7.575,7.575,7.575,0
GME,2020-09-02T20:00:00Z,7.575,7.575,7.575,7.575,0
GME,2020-09-03T14:00:00Z,8.18,8.44,7.41,7.64,26266
GME,2020-09-03T15:00:00Z,7.625,7.625,7.32,7.38,7837
GME,2020-09-03T16:00:00Z,7.38,7.59,7.35,7.415,4973
GME,2020-09-03T17:00:00Z,7.42,7.445,7.25,7.43,5419
GME,2020-09-03T18:00:00Z,7.43,7.51,7.39,7.455,14905
GME,2020-09-03T19:00:00Z,7.455,7.845,7.36,7.805,41248
GME,2020-09-03T20:00:00Z,7.89,7.89,7.89,7.89,51
GME,2020-09-04T14:00:00Z,7.61,7.73,7.175,7.48,19406
GME,2020-09-04T15:00:00Z,7.5,7.65,7.385,7.62,4172
GME,2020-09-04T16:00:00Z,7.645,7.78,7.53,7.53,7449
GME,2020-09-04T17:00:00Z,7.52,7.565,7.425,7.535,3173
GME,2020-09-04T18:00:00Z,7.535,7.715,7.535,7.645,5897
GME,2020-09-04T19:00:00Z,7.645,7.715,7.6,7.625,15646
GME,2020-09-04T20:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T14:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T15:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T16:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T17:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T18:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T19:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-07T20:00:00Z,7.625,7.625,7.625,7.625,0
GME,2020-09-08T14:00:00Z,7.985,8.205,7.985,8.135,38942
GME,2020-09-08T15:00:00Z,8.145,8.27,7.85,8.145,31330
GME,2020-09-08T16:00:00Z,8.145,8.175,7.995,8.175,5665
GME,2020-09-08T17:00:00Z,8.125,8.125,7.915,7.915,28095
GME,2020-09-08T18:00:00Z,7.915,7.955,7.69,7.86,21230
GME,2020-09-08T19:00:00Z,7.83,7.89,7.685,7.7,27683
GME,2020-09-08T20:00:00Z,7.7,7.7,7.7,7.7,0
GME,2020-09-09T14:00:00Z,7.6,7.665,7.385,7.54,54093
GME,2020-09-09T15:00:00Z,7.54,7.64,7.38,7.42,28388
GME,2020-09-09T16:00:00Z,7.425,7.585,7.425,7.5,24136
GME,2020-09-09T17:00:00Z,7.515,7.545,7.405,7.42,18410
GME,2020-09-09T18:00:00Z,7.445,7.455,7.365,7.375,24465
GME,2020-09-09T19:00:00Z,7.375,7.46,7.32,7.335,36682
GME,2020-09-09T20:00:00Z,7.335,7.335,7.335,7.335,0
GME,2020-09-10T14:00:00Z,6.48,6.855,6.335,6.78,82317
GME,2020-09-10T15:00:00Z,6.775,6.775,6.575,6.64,36284
GME,2020-09-10T16:00:00Z,6.645,6.67,6.5,6.51,13425
GME,2020-09-10T17:00:00Z,6.49,6.54,6.34,6.4,35267
GME,2020-09-10T18:00:00Z,6.4,6.48,6.27,6.31,20259
GME,2020-09-10T19:00:00Z,6.31,6.325,6.195,6.22,76399
GME,2020-09-10T20:00:00Z,6.22,6.22,6.22,6.22,0
GME,2020-09-11T14:00:00Z,6.075,6.25,6.07,6.16,27728
GME,2020-09-11T15:00:00Z,6.17,6.325,6.165,6.18,8572
GME,2020-09-11T16:00:00Z,6.175,6.175,6.03,6.07,22413
GME,2020-09-11T17:00:00Z,6.075,6.12,6.025,6.095,13989
GME,2020-09-11T18:00:00Z,6.1,6.19,6.09,6.155,7247
GME,2020-09-11T19:00:00Z,6.15,6.155,6.045,6.095,25081
GME,2020-09-11T20:00:00Z,6.095,6.095,6.095,6.095,0
GME,2020-09-14T14:00:00Z,6.545,6.75,6.485,6.62,12391
GME,2020-09-14T15:00:00Z,6.615,6.695,6.55,6.63,6170
GME,2020-09-14T16:00:00Z,6.63,6.77,6.59,6.765,9233
GME,2020-09-14T17:00:00Z,6.735,6.76,6.59,6.74,8590
GME,2020-09-14T18:00:00Z,6.75,6.81,6.685,6.8,5003
GME,2020-09-14T19:00:00Z,6.8,6.99,6.765,6.985,27745
GME,2020-09-14T20:00:00Z,6.985,6.985,6.985,6.985,0
GME,2020-09-15T14:00:00Z,6.79,7.255,6.77,7.185,23811
GME,2020-09-15T15:00:00Z,7.185,7.185,6.93,6.94,12045
GME,2020-09-15T16:00:00Z,6.94,7.135,6.93,7.135,7533
GME,2020-09-15T17:00:00Z,7.135,7.205,7.04,7.11,15225
GME,2020-09-15T18:00:00Z,7.11,7.12,7.05,7.1,7251
GME,2020-09-15T19:00:00Z,7.105,7.105,6.975,7.085,33311
GME,2020-09-15T20:00:00Z,7.01,7.01,7.01,7.01,1
GME,2020-09-16T14:00:00Z,7.12,7.42,7.09,7.25,6882
GME,2020-09-16T15:00:00Z,7.235,8.02,7.235,7.9,29131
GME,2020-09-16T16:00:00Z,7.915,8.235,7.675,8.075,11788
GME,2020-09-16T17:00:00Z,8.085,8.95,8.085,8.95,37278
GME,2020-09-16T18:00:00Z,8.95,9.04,8.3,8.445,15573
GME,2020-09-16T19:00:00Z,8.445,8.75,8.445,8.635,28933
GME,2020-09-16T20:00:00Z,8.635,8.635,8.635,8.635,0
GME,2020-09-17T14:00:00Z,9.16,9.29,8.865,9.145,48286
GME,2020-09-17T15:00:00Z,9.185,9.27,9.085,9.24,30667
GME,2020-09-17T16:00:00Z,9.24,9.255,9.145,9.185,11879
GME,2020-09-17T17:00:00Z,9.19,9.27,9.175,9.21,12595
GME,2020-09-17T18:00:00Z,9.21,9.25,8.72,8.83,38239
