symbol,date,open,high,low,close,volume
BB,2020-09-01T14:00:00Z,5.355,5.52,5.34,5.465,14812
BB,2020-09-01T15:00:00Z,5.465,5.49,5.395,5.47,1681
BB,2020-09-01T16:00:00Z,5.47,5.475,5.42,5.45,1718
BB,2020-09-01T17:00:00Z,5.445,5.475,5.425,5.46,10655
BB,2020-09-01T18:00:00Z,5.46,5.535,5.455,5.535,2905
BB,2020-09-01T19:00:00Z,5.53,5.59,5.505,5.59,16862
BB,2020-09-01T20:00:00Z,5.59,5.59,5.59,5.59,0
BB,2020-09-02T14:00:00Z,5.47,5.535,5.415,5.49,9320
BB,2020-09-02T15:00:00Z,5.49,5.505,5.41,5.43,6744
BB,2020-09-02T16:00:00Z,5.43,5.475,5.415,5.455,2875
BB,2020-09-02T17:00:00Z,5.45,5.505,5.44,5.485,2120
BB,2020-09-02T18:00:00Z,5.485,5.495,5.455,5.465,1440
BB,2020-09-02T19:00:00Z,5.465,5.5,5.465,5.465,400
BB,2020-09-02T20:00:00Z,5.465,5.465,5.465,5.465,0
BB,2020-09-03T14:00:00Z,5.37,5.415,5.195,5.285,8040
BB,2020-09-03T15:00:00Z,5.285,5.285,5.125,5.205,12501
BB,2020-09-03T16:00:00Z,5.215,5.255,5.175,5.21,4916
BB,2020-09-03T17:00:00Z,5.215,5.25,5.18,5.195,3112
BB,2020-09-03T18:00:00Z,5.19,5.235,5.185,5.2,4183
BB,2020-09-03T19:00:00Z,5.205,5.215,5.15,5.175,6576
BB,2020-09-03T20:00:00Z,5.175,5.175,5.175,5.175,0
BB,2020-09-04T14:00:00Z,5.03,5.11,4.855,5.065,18931
BB,2020-09-04T15:00:00Z,5.055,5.145,4.985,5.14,3821
BB,2020-09-04T16:00:00Z,5.14,5.155,5.075,5.105,3400
BB,2020-09-04T17:00:00Z,5.105,5.11,5.04,5.085,2400
BB,2020-09-04T18:00:00Z,5.085,5.17,5.075,5.165,2759
BB,2020-09-04T19:00:00Z,5.165,5.19,5.105,5.115,12340
BB,2020-09-04T20:00:00Z,5.06,5.06,5.06,5.06,4
BB,2020-09-07T14:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T15:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T16:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T17:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T18:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T19:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-07T20:00:00Z,5.06,5.06,5.06,5.06,0
BB,2020-09-08T14:00:00Z,5,5.095,4.965,5.005,6542
BB,2020-09-08T15:00:00Z,5.005,5.065,4.99,5.015,2526
BB,2020-09-08T16:00:00Z,5.015,5.045,4.995,5.005,4254
BB,2020-09-08T17:00:00Z,5.005,5.005,4.975,4.985,1495
BB,2020-09-08T18:00:00Z,4.99,4.995,4.93,4.955,1310
BB,2020-09-08T19:00:00Z,4.955,5.005,4.93,4.935,11966
BB,2020-09-08T20:00:00Z,4.935,4.935,4.935,4.935,0
BB,2020-09-09T14:00:00Z,4.995,5.025,4.945,5,2102
BB,2020-09-09T15:00:00Z,5,5.015,4.95,4.955,6923
BB,2020-09-09T16:00:00Z,4.965,5.01,4.965,4.975,2300
BB,2020-09-09T17:00:00Z,4.975,4.995,4.94,4.945,5159
BB,2020-09-09T18:00:00Z,4.95,4.96,4.925,4.93,1706
BB,2020-09-09T19:00:00Z,4.935,4.965,4.915,4.915,52633
BB,2020-09-09T20:00:00Z,4.915,4.915,4.915,4.915,0
BB,2020-09-10T14:00:00Z,4.935,4.985,4.845,4.865,4722
BB,2020-09-10T15:00:00Z,4.865,4.94,4.85,4.915,3205
BB,2020-09-10T16:00:00Z,4.915,4.925,4.845,4.885,12033
BB,2020-09-10T17:00:00Z,4.885,4.905,4.855,4.865,900
BB,2020-09-10T18:00:00Z,4.865,4.88,4.82,4.875,3760
BB,2020-09-10T19:00:00Z,4.865,4.865,4.79,4.805,7756
BB,2020-09-10T20:00:00Z,4.805,4.805,4.805,4.805,0
BB,2020-09-11T14:00:00Z,4.775,4.81,4.74,4.77,12733
BB,2020-09-11T15:00:00Z,4.77,4.835,4.765,4.765,2794
BB,2020-09-11T16:00:00Z,4.765,4.775,4.725,4.735,2651
BB,2020-09-11T17:00:00Z,4.735,4.745,4.68,4.695,1394
