price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
15.81,16.35,15.28,15.53,9876100,15.53,2020-12-21,GME,NA,NA
16.219999,20.040001,16.15,19.459999,30652700,19.459999,2020-12-22,GME,0.2530585318737928,0.2530585318737928
20.17,22.35,19.129999,20.57,25830300,20.57,2020-12-23,GME,0.05704013653854756,0.05704013653854756
21.01,21.48,19.950001,20.15,6262200,20.15,2020-12-24,GME,-0.020418084589207686,-0.020418084589207686
21.309999,21.969999,20.35,20.99,8965900,20.99,2020-12-28,GME,0.0416873449131514,0.0416873449131514
20.82,21.07,18.559999,19.379999,9241400,19.379999,2020-12-29,GME,-0.0767032396379227,-0.0767032396379227
19.379999,20,18.85,19.26,5934400,19.26,2020-12-30,GME,-0.006191899184308514,-0.006191899184308514
19.25,19.799999,18.799999,18.84,6922700,18.84,2020-12-31,GME,-0.02180685358255463,-0.02180685358255463
19,19.1,17.15,17.25,10022500,17.25,2021-01-04,GME,-0.08439490445859876,-0.08439490445859876
17.35,18.08,17.23,17.370001,4961500,17.370001,2021-01-05,GME,0.006956579710144739,0.006956579710144739
17.34,18.98,17.33,18.360001,6056200,18.360001,2021-01-06,GME,0.05699481537162843,0.05699481537162843
18.469999,19.450001,18.02,18.08,6129300,18.08,2021-01-07,GME,-0.015250598297897766,-0.015250598297897766
18.18,18.299999,17.08,17.690001,6482000,17.690001,2021-01-08,GME,-0.02157074115044244,-0.02157074115044244
19.41,20.65,19.01,19.940001,14927600,19.940001,2021-01-11,GME,0.12719049591913545,0.12719049591913545
19.959999,20.4,19.32,19.950001,7060700,19.950001,2021-01-12,GME,5.015044883900366e-4,5.015044883900366e-4
20.42,38.650002,20.030001,31.4,144501700,31.4,2021-01-13,GME,0.5739347581987588,0.5739347581987588
38.09,43.060001,33.049999,39.91,93717400,39.91,2021-01-14,GME,0.27101910828025466,0.27101910828025466
38.490002,40.75,34.009998,35.5,46866400,35.5,2021-01-15,GME,-0.11049862189927329,-0.11049862189927329
41.549999,45.52,36.639999,39.360001,74721900,39.360001,2021-01-19,GME,0.10873242253521109,0.10873242253521109
37.369999,41.189999,36.060001,39.119999,33471800,39.119999,2021-01-20,GME,-0.006097611633698818,-0.006097611633698818
39.23,44.75,37,43.029999,57079800,43.029999,2021-01-21,GME,0.09994887781055395,0.09994887781055395
42.59,76.760002,42.32,65.010002,197157900,65.010002,2021-01-22,GME,0.5108064957194167,0.5108064957194167
96.730003,159.179993,61.130001,76.790001,177874000,76.790001,2021-01-25,GME,0.18120287090592613,0.18120287090592613
88.559998,150,80.199997,147.979996,178588000,147.979996,2021-01-26,GME,0.9270737605537991,0.9270737605537991
354.829987,380,249,347.51001,93396700,347.51001,2021-01-27,GME,1.3483580172552512,1.3483580172552512
265,483,112.25,193.600006,58815800,193.600006,2021-01-28,GME,-0.4428937284425275,-0.4428937284425275
379.709991,413.980011,250,325,50259200,325,2021-01-29,GME,0.6787189562380489,0.6787189562380489
316.559998,322,212,225,37382200,225,2021-02-01,GME,-0.3076923076923077,-0.3076923076923077
140.759995,158,74.220001,90,78183100,90,2021-02-02,GME,-0.6,-0.6
112.010002,113.400002,85.25,92.410004,42698500,92.410004,2021-02-03,GME,0.026777822222222136,0.026777822222222136
91.190002,91.5,53.330002,53.5,62427300,53.5,2021-02-04,GME,-0.42105835208058207,-0.42105835208058207
54.040001,95,51.09,63.77,80886300,63.77,2021-02-05,GME,0.19196261682243,0.19196261682243
72.410004,72.660004,58.02,60,25687300,60,2021-02-08,GME,-0.059118707856358865,-0.059118707856358865
56.610001,57,46.52,50.310001,26843100,50.310001,2021-02-09,GME,-0.16149998333333337,-0.16149998333333337
50.77,62.830002,46.549999,51.200001,36455000,51.200001,2021-02-10,GME,0.017690319664275034,0.017690319664275034
50.009998,55.32,48.220001,51.099998,12997400,51.099998,2021-02-11,GME,-0.001953183555601923,-0.001953183555601923
50.75,55.240002,48.049999,52.400002,14498000,52.400002,2021-02-12,GME,0.025440392385142507,0.025440392385142507
52.66,53.5,49.040001,49.509998,8140700,49.509998,2021-02-16,GME,-0.05515274598653641,-0.05515274598653641
49.77,51.189999,44.560001,45.939999,9186800,45.939999,2021-02-17,GME,-0.07210662783706845,-0.07210662783706845
