symbol,timestamp,open,high,low,close,volume
GME,2020-12-28T05:00:00Z,20.25,23.5,20.2,23.29,17963
GME,2020-12-28T06:00:00Z,22.6,22.88,22.06,22.52,8735
GME,2020-12-28T07:00:00Z,22.48,22.53,22.2,22.4,5334
GME,2020-12-28T08:00:00Z,22.5,22.5,21.59,22.3,65176
GME,2020-12-28T09:00:00Z,22.1,22.57,21.26,21.44,158480
GME,2020-12-28T10:00:00Z,21.45,21.7,20.46,21.6859,2516923
GME,2020-12-28T11:00:00Z,21.685,21.97,20.35,21.0001,2635604
GME,2020-12-28T12:00:00Z,21.0169,21.3799,20.88,21.12,746228
GME,2020-12-28T13:00:00Z,21.13,21.17,20.84,20.86,558804
GME,2020-12-28T14:00:00Z,20.868,20.9389,20.42,20.4368,597811
GME,2020-12-28T15:00:00Z,20.43,20.81,20.425,20.639,477433
GME,2020-12-28T16:00:00Z,20.646,21.11,20.57,20.98,1155627
GME,2020-12-28T17:00:00Z,20.99,21.1,20.88,21.1,15544
GME,2020-12-28T18:00:00Z,21.01,21.2,20.99,21.2,18608
GME,2020-12-28T19:00:00Z,21.16,21.19,21.1,21.12,5119
GME,2020-12-28T20:00:00Z,21.12,21.15,21,21.15,10281
GME,2020-12-29T05:00:00Z,21,21,21,21,345
GME,2020-12-29T06:00:00Z,21.05,21.22,21.05,21.22,857
GME,2020-12-29T08:00:00Z,21.16,21.22,21.09,21.09,8338
GME,2020-12-29T09:00:00Z,21.2199,21.22,21,21.03,13615
GME,2020-12-29T10:00:00Z,21.0302,21.19,19.65,19.8032,1442995
GME,2020-12-29T11:00:00Z,19.8304,19.86,18.56,19.17,2764188
GME,2020-12-29T12:00:00Z,19.187,19.71,19.0911,19.69,876914
GME,2020-12-29T13:00:00Z,19.701,19.76,19.11,19.36,914087
GME,2020-12-29T14:00:00Z,19.37,19.87,19.33,19.785,597241
GME,2020-12-29T15:00:00Z,19.79,20.03,19.495,19.67,1231265
GME,2020-12-29T16:00:00Z,19.6789,19.83,19.3,19.37,1192465
GME,2020-12-29T17:00:00Z,19.31,19.5,19.3,19.35,28925
GME,2020-12-29T18:00:00Z,19.3598,19.37,19.3598,19.36,8841
GME,2020-12-29T19:00:00Z,19.37,19.37,18.9,19.23,18624
GME,2020-12-29T20:00:00Z,19.24,19.24,19.01,19.05,4983
GME,2020-12-30T06:00:00Z,19.32,19.32,19.32,19.32,100
GME,2020-12-30T07:00:00Z,19.34,19.6,19.34,19.59,1625
GME,2020-12-30T08:00:00Z,19.39,19.5,19.3,19.3,2314
GME,2020-12-30T09:00:00Z,19.32,19.58,19.02,19.04,16194
GME,2020-12-30T10:00:00Z,19.02,20,19.02,19.83,809746
GME,2020-12-30T11:00:00Z,19.805,19.84,19.41,19.465,942178
GME,2020-12-30T12:00:00Z,19.47,19.5178,19.2,19.26,789229
